gene	neglog10p
SNCA	169.39794000867204
LRRK2	147.39794000867204
GBA1	89.52287874528034
HMGN2P18	75.0
TMEM175	74.30102999566398
KRTCAP2	69.69897000433602
LINC02210	69.0
CRHR1	69.0
MAPT	68.0
ASH1L	67.39794000867204
NSF	66.04575749056067
TRIM46	59.04575749056068
MCCC1	49.22184874961636
GPRIN3	48.0
RN7SL813P	41.39794000867204
STK39	41.39794000867204
HIP1R	40.69897000433602
KANSL1	39.69897000433602
PBXIP1	38.69897000433602
PMVK	37.0
AS1	37.0
KCNN3	37.0
ARHGEF2	35.39794000867204
RIT1	33.52287874528034
SLC2A13	32.52287874528034
BST1	32.22184874961636
METAZOA_SRP	31.69897000433602
NUCKS1	31.69897000433602
RAB29	29.0
INPP5F	27.69897000433602
DT	27.69897000433602
RIT2	27.69897000433602
GPNMB	27.39794000867204
DRB1	27.154901959985743
DQA1	27.154901959985743
HLA	27.154901959985743
CNTN1	26.69897000433602
ARHGAP27	26.096910013008056
RNA5SP443	26.096910013008056
LINC02555	26.045757490560675
SEMA4A	26.0
CCSER1	23.522878745280337
ITPKB	23.522878745280337
SETD1A	23.39794000867204
CCNT2	23.096910013008056
ELOVL7	22.522878745280337
MIR4682	22.39794000867204
SEC23IP	22.39794000867204
LINC02349	21.30102999566398
RORA	21.30102999566398
SLC25A44	21.096910013008056
GAK	20.69897000433602
LMNA	20.69897000433602
ASS1P14	20.39794000867204
SLC41A1	20.39794000867204
SYT10	20.39794000867204
FAM47E	20.22184874961636
STBD1	20.22184874961636
SH3GL2	20.096910013008056
CCDC62	19.69897000433602
MUC19	19.69897000433602
IGSF9B	19.22184874961636
SCARB2	18.30102999566398
MUC12	17.522878745280337
SIPA1L2	17.0
WNT3	16.522878745280337
RN7SL474P	16.221848749616356
MSR1	16.221848749616356
MMRN1	16.0
GCH1	15.69897000433602
WDHD1	15.397940008672036
CTSB	15.397940008672036
CCT3	15.0
P2RX5	14.69897000433602
ITGAE	14.69897000433602
FYN	14.397940008672036
NDUFAF2	14.30102999566398
HASPIN	14.0
472P	13.69897000433602
RNU6	13.69897000433602
Y_RNA	13.69897000433602
DCUN1D1	13.522878745280336
SPPL2C	13.522878745280336
TMEM163	13.30102999566398
TMEM229B	13.154901959985745
DQB1	13.0
SPATA19	13.0
MTCO3P1	13.0
TXNP1	12.69897000433602
