gene	log2fc	significant
KRT1	-1.9434	True
	-1.7859	True
AQP4	1.5656	False
IGHG3	-1.2176	False
IGHG4	-1.0589	False
IGHG1	-1.0291	False
PGAM2	1.0	False
NEBL	0.8953	True
GPD1	0.7991	True
FARSA	-0.7859	False
SERPINA1	-0.7859	False
TJP2	0.774	True
ORM1	-0.7131	False
GFAP	0.7049	True
ANXA1	0.6599	True
FTL	0.6508	True
GGH	-0.6439	True
DAO	0.6323	False
ASS1	0.6135	True
ASPA	0.6135	False
APOB	-0.5995	False
SIRPB1	-0.5995	True
ADRBK1	-0.5995	False
TH	-0.5778	False
FGB	-0.5778	False
BSCL2	-0.5778	True
FN1	-0.5778	False
AKR1C3	0.5753	True
SNCB	0.5656	False
SORD	0.546	True
FARSB	-0.5353	False
AKR1C2	0.5261	True
NOMO3	-0.5146	True
ALDH1B1	-0.4941	False
TUBA8	-0.4941	True
HP1BP3	0.4854	False
TTC9C	0.4751	True
FGA	-0.4739	False
IARS	-0.4739	False
IGKC	-0.4739	False
TMEM35	-0.4739	True
GSTM4	0.4647	False
FTH1	0.4542	False
CD9	0.4542	False
FAM127A	-0.454	False
EEF1A2	-0.454	True
ERP29	-0.4344	True
NCAN	-0.4344	True
RPL35A	-0.4344	False
HP	-0.4344	False
PRKACA	-0.4344	True
HEPACAM	0.433	True
PURA	-0.415	True
SERPING1	-0.415	False
SLC2A1	-0.415	False
MYO1D	0.4005	False
ACADS	-0.3959	False
RDH13	-0.3959	True
SLC12A7	-0.3959	False
MAP4	0.3896	False
TJP1	0.3785	False
RPLP0	-0.3771	False
PLD3	-0.3771	False
HYOU1	-0.3585	True
RPS9	-0.3585	False
EEF1G	-0.3585	True
PCYOX1L	-0.3585	True
PON2	0.3561	False
MAP4K4	0.3561	True
EEF1A1	0.3561	True
DBI	0.3561	False
HIST1H2BK	0.3561	True
ALAD	0.3561	True
GMPR	0.3448	True
EZR	0.3448	True
HIST1H2BJ	0.3448	True
PHGDH	0.3448	False
RPS18	-0.3401	False
LRPPRC	-0.3401	True
BCAT1	-0.3401	True
LARS	-0.3401	False
PYGL	-0.3401	True
SIAE	-0.3401	False
RPSA	-0.3401	False
ALDH1A1	-0.3401	False
RPL28	-0.3401	True
RPS4X	-0.3401	False
RPS3	-0.3401	True
RPL6	-0.3401	False
SLC12A5	-0.3401	True
GBE1	-0.3401	True
H3F3A	0.3334	False
CD99	0.3334	True
H2AFY	0.3334	False
ITGB1	0.3219	True
CSRP1	0.3219	True
CPT1A	-0.3219	True
LAP3	0.3219	False
GSTP1	0.3219	True
ACP2	-0.3219	True
EEF1B2	-0.3219	True
FGF1	0.3219	True
WDR1	0.3219	True
FAH	0.3219	False
UQCR10	0.3103	False
LGALS3	0.3103	True
AKR1A1	0.3103	True
PRPS2	0.3103	True
PHPT1	0.3103	True
FOLR3	0.3103	False
S100B	0.3103	False
SLC1A4	-0.304	False
RPN2	-0.304	True
RPLP2	-0.304	False
HBG1	-0.304	False
SCAMP5	-0.304	True
FGG	-0.304	False
ACAD9	-0.304	True
GFM1	-0.304	True
ACE	-0.304	False
VIM	0.2987	True
HSPA2	0.2987	True
FHL1	0.2987	False
BAG3	0.2987	True
PRDX1	0.2987	True
ATL2	0.2987	False
ABHD14B	0.2869	True
CRYL1	0.2869	True
PI16	0.2869	True
CRIP2	0.2869	False
CADPS	-0.2863	True
RPS21	-0.2863	False
RPS13	-0.2863	False
ACHE	-0.2863	True
C4A	-0.2863	False
RARS	-0.2863	False
RG9MTD1	-0.2863	True
TARSL2	-0.2863	False
KIF1A	-0.2863	True
RAP1GAP	-0.2863	True
SHMT2	-0.2863	False
GC	-0.2863	False
SLC32A1	-0.2863	True
PRKAR2B	-0.2863	False
TMED7	-0.2863	False
ARSA	-0.2863	True
ESD	0.275	True
RPH3A	0.275	False
PAICS	0.275	True
TNC	0.275	False
HIST1H1E	0.275	True
SNTB1	0.275	False
PMP2	0.275	False
ERO1L	-0.2688	True
SRPK2	-0.2688	False
RAB3GAP2	-0.2688	True
MARS	-0.2688	True
SYN2	-0.2688	False
CSDE1	-0.2688	True
CCBL2	-0.2688	False
GSTK1	-0.2688	True
GLUD1	-0.2688	True
MT3	-0.2688	False
SLC6A17	-0.2688	True
HAPLN4	-0.2688	True
SNTA1	0.263	False
AHNAK	0.263	False
ALDH9A1	0.263	True
DMD	0.263	False
DAAM2	0.263	True
ARL8B	0.263	False
ACYP2	0.263	True
COTL1	0.263	True
QKI	0.263	True
RPS8	-0.2515	True
RPS16	-0.2515	False
TAC1	-0.2515	True
RPL7	-0.2515	False
SLC27A4	-0.2515	True
PSAP	-0.2515	False
