gene	log2fc	pval
XIST	-10.7	3.57e-05
DDX3Y	8.81	5.79e-05
RPS4Y1	7.62	6.66e-05
EIF1AY	6.12	0.0001517
USP9Y	5.82	0.0002367
LOC101928539	5.44	0.0002945
GREM2	5.58	0.0003105
TXLNGY	6.76	0.0003638
HELLS	5.15	0.0004075
NTN5	4.96	0.0004345
LOC105369167	4.83	0.0004634
ST8SIA4	5.05	0.000468
ZFY	5.83	0.000473
LINC00282	4.6	0.0004993
SEL1L3	4.75	0.0005
NFE2	4.45	0.0005745
ECT2	4.48	0.0006088
SERTAD4	5.12	0.0006225
RAB7A	4.53	0.0006345
ADCY10	4.39	0.0006497
LOC101927616	4.84	0.0006541
GVINP1	4.38	0.0006565
POF1B	4.64	0.0006653
HTR7	4.66	0.0006745
USP2	4.48	0.0006791
TRIM4	4.22	0.0006795
WDHD1	4.17	0.0007028
STAU2	4.18	0.0007242
INHA	5.06	0.0007379
LINC00892	5.09	0.0007911
FOSL1	4.11	0.0007967
KDM5D	4.76	0.0008448
GAB1	4.11	0.0008734
LOC441666	4.61	0.000933
COL6A5	-4.46	0.0009476
C11ORF1	4.54	0.0009549
NAB1	4.2	0.0009678
RNF17	4.86	0.0009685
AMBRA1	4.87	0.0009779
HIPK1-AS1	4.58	0.0009857
NT5M	4.08	0.0010032
LINC00521	3.79	0.0010162
HLA-DPA1	4.25	0.0010296
PNLIPRP3	4.53	0.0010563
FZD9	4.11	0.0010629
PSPH	-4.18	0.0010874
PRSS21	4.25	0.0011059
IGSF22	4.02	0.0011093
SLC6A6	4.28	0.001124
LOC100996246	3.75	0.0011247
USH2A	4.22	0.0011401
CNKSR3	5.46	0.0011436
ACPP	4.13	0.0011523
CRIP1	-4.42	0.0011623
PCNX4	4.4	0.0011657
LOC101928140	3.66	0.001167
LOC105371307	4.39	0.0011914
LINC00167	3.71	0.0011982
AEBP2	4.29	0.0011993
ANKS6	3.83	0.0012176
HHLA2	4.14	0.0012333
ZNF277	4.17	0.0012602
HDAC6	4.23	0.0012759
LMNA	3.65	0.0012999
MAPK15	3.67	0.0013138
LDHAL6B	4.27	0.0013336
FST	-4.48	0.0013517
TMEM207	3.86	0.0013574
PSKH2	3.83	0.001375
TTTY15	3.85	0.0013862
INTS4	3.49	0.0014358
HS6ST3	5.21	0.001448
SMPDL3A	4.05	0.0014643
KISS1R	4.56	0.0014651
NLRP1	-3.78	0.0014691
C12ORF40	4.17	0.0014755
TOP2A	-3.83	0.0014835
ARVCF	3.44	0.0014843
GLS	3.53	0.0015025
LINC00477	4.45	0.0015225
CTRL	3.8	0.0015235
GGA2	3.41	0.0015499
FOXI1	3.7	0.0015674
NYX	4.06	0.0015782
ARHGAP29	4.21	0.0015863
SSX3	3.63	0.0016568
HOMER3	4.25	0.001658
FHAD1	3.46	0.0017284
BMP5	3.87	0.0017464
RSRC1	4.39	0.0017877
GPR157	3.7	0.0017881
MIR4755	4.59	0.0017897
ZCCHC2	3.4	0.0017903
FAM227B	3.75	0.0018024
C2ORF54	3.72	0.0018033
CPNE4	4.31	0.001812
GUSBP4	-5.38	0.0018238
SNX8	3.54	0.0018245
LOC731157	3.81	0.0018482
ADAMTS5	3.37	0.0018593
RSPH14	3.22	0.001872
CYP2C19	3.58	0.001874
IGSF11-AS1	3.33	0.0018794
PTPN5	4.81	0.001906
GJA3	4.49	0.0019073
ELK4	-3.46	0.0019324
NT5DC3	3.38	0.0019691
UBE2D3	5.05	0.0019837
MALRD1	-3.21	0.0019856
CRISP1	3.89	0.0020133
LOC105373738	3.56	0.0020176
ALG10	-3.3	0.0020324
HOXD10	3.66	0.0020366
WNT6	3.53	0.0020471
MTAP	3.5	0.0020477
MYO1B	3.16	0.0020943
LOC150596	3.99	0.0020957
PLAC9	-5.0	0.0021004
CPEB2	4.19	0.0021044
LOC105375839	3.62	0.0021113
VSX1	3.63	0.0021175
LINC01361	3.8	0.0021471
C22ORF34	3.4	0.0021555
CPXCR1	3.56	0.0021713
CDRT1	-3.29	0.0021813
IL17A	3.13	0.0021956
BGLT3	3.76	0.00225
PHLPP2	4.15	0.0022507
LINC00856	4.29	0.002257
SIPA1L3	3.36	0.0022832
LOC105376944	3.68	0.0022935
INGX	3.27	0.0023262
LHX9	3.23	0.0023381
CPA3	3.39	0.0023433
MAGOH2P	3.47	0.0023551
