ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
224588_at	0.538	0.0000357	1.89e+01	-0.19	1.07e+01	XIST	X inactive specific transcript (non-protein coding)
205000_at	0.538	0.0000579	-1.68e+01	-0.249	-8.81	DDX3Y	DEAD-box helicase 3, Y-linked
201909_at	0.538	0.0000666	-1.62e+01	-0.268	-7.62	RPS4Y1	ribosomal protein S4, Y-linked 1
204410_at	0.538	0.0001517	-1.32e+01	-0.408	-6.12	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
228492_at	0.538	0.0002367	-1.19e+01	-0.506	-5.82	USP9Y	ubiquitin specific peptidase 9, Y-linked
1561210_at	0.538	0.0002945	-1.12e+01	-0.561	-5.44	LOC101928539	uncharacterized LOC101928539
205001_s_at	0.538	0.0003064	-1.11e+01	-0.571	-5.69	DDX3Y	DEAD-box helicase 3, Y-linked
240509_s_at	0.538	0.0003105	-1.11e+01	-0.575	-5.58	GREM2	gremlin 2, DAN family BMP antagonist
232618_at	0.538	0.0003638	-1.07e+01	-0.618	-6.76	TXLNGY	taxilin gamma pseudogene, Y-linked
217470_at	0.538	0.0003914	-1.05e+01	-0.639	-4.91		
227349_at	0.538	0.0004075	-1.04e+01	-0.651	-5.15	HELLS	helicase, lymphoid-specific
214218_s_at	0.538	0.0004227	1.03e+01	-0.662	6.88	XIST	X inactive specific transcript (non-protein coding)
223646_s_at	0.538	0.0004282	-1.02e+01	-0.666	-7.29	TXLNGY	taxilin gamma pseudogene, Y-linked
1558247_s_at	0.538	0.0004345	-1.02e+01	-0.67	-4.96	NTN5	netrin 5
243126_x_at	0.538	0.0004626	-1.00e+01	-0.689	-4.59		
1560628_at	0.538	0.0004634	-1.00e+01	-0.689	-4.83	LOC105369167	uncharacterized LOC105369167
1554460_at	0.538	0.000468	-1.00e+01	-0.692	-5.05	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
207246_at	0.538	0.000473	-9.98	-0.696	-5.83	ZFY	zinc finger protein, Y-linked
1557465_at	0.538	0.0004993	-9.85	-0.713	-4.60	LINC00282	long intergenic non-protein coding RNA 282
235353_at	0.538	0.0005	-9.85	-0.713	-4.75	SEL1L3	SEL1L family member 3
209930_s_at	0.538	0.0005745	-9.51	-0.758	-4.45	NFE2	nuclear factor, erythroid 2
220897_at	0.538	0.0005781	-9.50	-0.76	-5.02		
239156_at	0.538	0.0005913	-9.44	-0.768	-5.23		
206624_at	0.538	0.0006001	-9.41	-0.773	-6.13	USP9Y	ubiquitin specific peptidase 9, Y-linked
234992_x_at	0.538	0.0006088	-9.37	-0.777	-4.48	ECT2	epithelial cell transforming 2
1566419_at	0.538	0.0006179	-9.34	-0.783	-4.68		
233907_s_at	0.538	0.0006225	-9.32	-0.785	-5.12	SERTAD4	SERTA domain containing 4
217268_at	0.538	0.0006345	-9.28	-0.792	-4.53	RAB7A	RAB7A, member RAS oncogene family
1556491_at	0.538	0.0006355	-9.27	-0.792	-4.55		
217305_s_at	0.538	0.0006497	-9.22	-0.8	-4.39	ADCY10	adenylate cyclase 10, soluble
1563135_at	0.538	0.0006541	-9.21	-0.802	-4.84	LOC101927616	uncharacterized LOC101927616
1562364_at	0.538	0.0006565	-9.20	-0.803	-4.38	GVINP1	GTPase, very large interferon inducible pseudogene 1
1555382_at	0.538	0.0006653	-9.17	-0.808	-4.64	POF1B	premature ovarian failure, 1B
207818_s_at	0.538	0.0006745	-9.14	-0.813	-4.66	HTR7	5-hydroxytryptamine receptor 7
207211_at	0.538	0.0006791	-9.12	-0.815	-4.48	USP2	ubiquitin specific peptidase 2
230173_at	0.538	0.0006795	-9.12	-0.815	-4.22	TRIM4	tripartite motif containing 4
1560284_at	0.538	0.0006901	-9.08	-0.821	-4.64		
240087_at	0.538	0.0006924	-9.08	-0.822	-4.37		
