gene,uniprot,ratio_PD_vs_control,significant,log2fc
A1BG,P04217,0.9,False,-0.152
A2M,P01023,0.9,False,-0.152
,A8MW06,0.97,False,-0.0439
AAK1,Q2M2I8,0.98,False,-0.0291
AARS,P49588,1.05,False,0.0704
AARSD1,Q9BTE6,1.0,False,0.0
ABAT,P80404,0.87,False,-0.2009
ABCE1,P61221,1.02,False,0.0286
ABCF1,Q8NE71,0.98,False,-0.0291
ABHD10,Q9NUJ1,0.94,False,-0.0893
ABHD12,Q8N2K0,0.9,True,-0.152
ABHD14B,Q96IU4,1.22,True,0.2869
ABHD16A,O95870,0.97,False,-0.0439
ABI2,Q9NYB9,1.09,False,0.1243
ABR,Q12979,1.02,False,0.0286
ACAA1,P09110,1.04,False,0.0566
ACAA2,P42765,0.91,False,-0.1361
ACAD9,Q9H845,0.81,True,-0.304
ACADM,P11310,0.98,False,-0.0291
ACADS,P16219,0.76,False,-0.3959
ACADSB,P45954,0.85,False,-0.2345
ACADVL,P49748,1.0,False,0.0
ACAT1,P24752,0.98,False,-0.0291
ACAT2,Q9BWD1,0.93,False,-0.1047
ACE,P12821,0.81,False,-0.304
ACHE,P22303,0.82,True,-0.2863
ACLY,P53396,0.96,False,-0.0589
ACO1,P21399,1.17,True,0.2265
ACO2,Q99798,0.97,False,-0.0439
ACOT13,Q9NPJ3,1.01,False,0.0144
ACOT7,O00154,0.93,False,-0.1047
ACOT9,Q9Y305,0.92,False,-0.1203
ACP2,P11117,0.8,True,-0.3219
ACSBG1,Q96GR2,1.09,False,0.1243
ACSL1,P33121,0.92,False,-0.1203
ACSL3,O95573,0.89,True,-0.1681
ACSL6,Q9UKU0,0.93,False,-0.1047
ACSS1,Q9NUB1,1.01,False,0.0144
ACSS3,Q9H6R3,1.04,False,0.0566
ACTB,P60709,1.03,False,0.0426
ACTG2,P63267,1.01,False,0.0144
ACTN1,P12814,0.98,False,-0.0291
ACTN2,P35609,0.91,False,-0.1361
ACTN4,O43707,0.99,False,-0.0145
ACTR10,Q9NZ32,1.0,False,0.0
ACTR1A,P61163,1.03,False,0.0426
ACTR2,P61160,1.01,False,0.0144
ACTR3,P61158,1.03,False,0.0426
ACTR3B,Q9P1U1,1.04,False,0.0566
ACYP1,P07311,0.96,False,-0.0589
ACYP2,P14621,1.2,True,0.263
ADAM10,O14672,1.17,False,0.2265
ADAM22,Q9P0K1,1.0,False,0.0
ADAM23,O75077,1.03,False,0.0426
ADAP1,O75689,1.07,False,0.0976
ADAR,P55265,0.92,False,-0.1203
ADCY5,O95622,0.97,False,-0.0439
ADD1,P35611,1.08,False,0.111
ADD2,P35612,0.98,False,-0.0291
ADD3,Q9UEY8,1.13,True,0.1763
ADH5,P11766,1.12,False,0.1635
ADK,P55263,1.0,False,0.0
ADRBK1,P25098,0.66,False,-0.5995
ADSS,P30520,0.96,False,-0.0589
AFG3L2,Q9Y4W6,0.95,False,-0.074
AGK,Q53H12,0.89,False,-0.1681
AGL,P35573,0.95,False,-0.074
AGRN,O00468,1.11,False,0.1506
AHCY,P23526,1.04,False,0.0566
AHCYL1,O43865,1.13,True,0.1763
AHNAK,Q09666,1.2,False,0.263
AIFM1,O95831,0.99,False,-0.0145
AIP,O00170,0.97,False,-0.0439
AK1,P00568,1.16,False,0.2141
AK3,Q9UIJ7,0.95,False,-0.074
AK4,P27144,0.88,False,-0.1844
AKAP12,Q02952,0.98,False,-0.0291
AKR1A1,P14550,1.24,True,0.3103
AKR1B1,P15121,1.02,False,0.0286
AKR1C2,P52895,1.44,True,0.5261
AKR1C3,P42330,1.49,True,0.5753
AKR7A2,O43488,1.1,False,0.1375
ALAD,P13716,1.28,True,0.3561
ALB,P02768,0.94,False,-0.0893
ALCAM,Q13740,1.02,False,0.0286
ALDH1A1,P00352,0.79,False,-0.3401
ALDH1B1,P30837,0.71,False,-0.4941
