rank,gene,log2fc_rna,pval,log2fc_prot,significant,neglog10p,in_gwas,concordant,rna_score,prot_score,gwas_score,multi_evidence_score
1,LMNA,3.65,0.0012999,0.1635,True,20.69897000433602,True,True,1.0,0.45914069081718617,0.093298963388195,0.5174798847351271
2,PBXIP1,-1.59,0.0333043,0.2016,True,38.69897000433602,True,False,0.4304514916088364,0.5661331086773378,0.2030550609491706,0.39987988707844824
3,SNCA,0.29,0.6147418,-0.0439,False,169.39794000867204,True,False,0.07102767563383007,0.12327997753440044,1.0,0.39810255105607684
4,MAP4K4,-0.332,0.5372045,0.3561,True,12.096910013008056,True,False,0.0826398296884072,1.0,0.040847378075219626,0.3744957359212089
5,WDR1,-0.564,0.3177532,0.3219,True,6.096910013008056,True,False,0.14678315684702367,0.9039595619208087,0.00426201222156109,0.35166824366313115
6,KTN1,-1.11,0.3955507,-0.2009,False,9.69897000433602,True,True,0.29774115955652636,0.5641673687166525,0.026225792656487702,0.2960447736432222
7,BAG3,-0.037,0.9617247,0.2987,True,11.69897000433602,True,False,0.001078271447925019,0.8388093232238135,0.03842091460770721,0.29276950309314853
8,NDUFAF2,0.739,0.2063297,-0.2009,False,14.30102999566398,True,False,0.19516713207442837,0.5641673687166525,0.05428713406702404,0.2712072116193683
9,MAPT,0.718,0.2084745,0.0566,False,68.0,True,True,0.18936105504713982,0.15894411682111764,0.38171987799590223,0.24334168328805322
10,PAM,0.416,0.4769132,-0.2009,False,8.698970004336019,True,False,0.10586413779756144,0.5641673687166525,0.020128231680877934,0.2300532460650306
11,SH3GL2,1.22,0.4034016,-0.074,False,20.096910013008056,True,False,0.3281539439851807,0.20780679584386405,0.08962786588009768,0.2085295352363808
12,PPP6R2,-0.9,0.4054494,-0.1203,False,7.221848749616356,True,True,0.23968038928364072,0.33782645324347094,0.011121394761855601,0.19620941242965573
13,CHL1,-0.748,0.3294138,0.1375,False,5.3979400086720375,True,False,0.1976554508004092,0.38612749227745014,0.0,0.19459431435928642
14,FYN,-1.26,0.0979022,0.0566,False,14.397940008672036,True,False,0.33921313832287325,0.15894411682111764,0.05487804878048779,0.18434510130815954
15,STK39,0.348,0.494062,0.0841,False,41.39794000867204,True,True,0.08706350742348419,0.23616961527660765,0.21951219512195122,0.180915105940681
